ticker,earnings_date,release_time
AAPL,2020-05-01,UNSPECIFIED
AAPL,2020-07-31,UNSPECIFIED
AAPL,2020-10-30,UNSPECIFIED
AAPL,2021-01-28,UNSPECIFIED
AAPL,2021-04-29,UNSPECIFIED
AAPL,2021-07-28,UNSPECIFIED
AAPL,2021-10-29,UNSPECIFIED
AAPL,2022-01-28,UNSPECIFIED
AAPL,2022-04-29,UNSPECIFIED
AAPL,2022-07-29,UNSPECIFIED
AAPL,2022-10-28,UNSPECIFIED
AAPL,2023-02-03,UNSPECIFIED
AAPL,2023-05-05,UNSPECIFIED
AAPL,2023-08-04,UNSPECIFIED
AAPL,2023-11-03,UNSPECIFIED
AAPL,2024-02-02,UNSPECIFIED
AAPL,2024-05-03,UNSPECIFIED
AAPL,2024-08-02,UNSPECIFIED
AAPL,2024-11-01,UNSPECIFIED
AAPL,2025-01-31,UNSPECIFIED
AAPL,2025-05-02,UNSPECIFIED
AAPL,2025-08-01,UNSPECIFIED
AAPL,2025-10-31,UNSPECIFIED
AAPL,2026-01-30,UNSPECIFIED
GOOGL,2022-10-26,UNSPECIFIED
GOOGL,2023-02-03,UNSPECIFIED
GOOGL,2023-04-26,UNSPECIFIED
GOOGL,2023-07-26,UNSPECIFIED
GOOGL,2023-10-25,UNSPECIFIED
GOOGL,2024-01-31,UNSPECIFIED
GOOGL,2024-04-26,UNSPECIFIED
GOOGL,2024-07-24,UNSPECIFIED
GOOGL,2024-10-30,UNSPECIFIED
GOOGL,2025-02-05,UNSPECIFIED
GOOGL,2025-04-25,UNSPECIFIED
GOOGL,2025-07-24,UNSPECIFIED
GOOGL,2025-10-30,UNSPECIFIED
GOOGL,2026-02-05,UNSPECIFIED
MSFT,2020-04-29,UNSPECIFIED
MSFT,2020-07-30,UNSPECIFIED
MSFT,2020-10-27,UNSPECIFIED
MSFT,2021-01-26,UNSPECIFIED
MSFT,2021-04-27,UNSPECIFIED
MSFT,2021-07-29,UNSPECIFIED
MSFT,2021-10-26,UNSPECIFIED
MSFT,2022-01-25,UNSPECIFIED
MSFT,2022-04-26,UNSPECIFIED
MSFT,2022-07-28,UNSPECIFIED
MSFT,2022-10-25,UNSPECIFIED
MSFT,2023-01-24,UNSPECIFIED
MSFT,2023-04-25,UNSPECIFIED
MSFT,2023-07-27,UNSPECIFIED
MSFT,2023-10-24,UNSPECIFIED
MSFT,2024-01-30,UNSPECIFIED
MSFT,2024-04-25,UNSPECIFIED
MSFT,2024-07-30,UNSPECIFIED
MSFT,2024-10-30,UNSPECIFIED
MSFT,2025-01-29,UNSPECIFIED
MSFT,2025-04-30,UNSPECIFIED
MSFT,2025-07-30,UNSPECIFIED
MSFT,2025-10-29,UNSPECIFIED
MSFT,2026-01-28,UNSPECIFIED